,File_name,File_path,File_size_bytes,File_size,Creation_time,Modification_time,Title,Author,Pages,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version,Image_height,Image_width,Image_format,Image_mode,Image_is_animated,Frames_in_image
0,"(Emotions in History) Jan Plamper, Keith Tribe - The History of Emotions_ An Introduction-Oxford University Press (2015).pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/(Emotions in History) Jan Plamper, Keith Tribe - The History of Emotions_ An Introduction-Oxford University Press (2015).pdf",5499748,5.24 MB,Fri Sep  3 23:47:36 2021,Mon Mar  8 02:14:12 2021,The History of Emotions: An Introduction,Acrobat Distiller 9.4.5 (Windows),369.0,,,,,,,,,,,,,,,,,,,,,
0,Плампер_История эмоций.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Плампер_История эмоций.pdf,5787374,5.52 MB,Mon Apr 12 22:48:36 2021,Tue Feb 23 23:13:00 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Fevr_L_Boi_za_istoriyu_1991.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Fevr_L_Boi_za_istoriyu_1991.pdf,117752530,112.3 MB,Fri Mar 19 19:26:56 2021,Sun Feb 28 16:16:30 2021,,,635.0,,,,,,,,,,,,,,,,,,,,,
0,Появление Героя.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Появление Героя.pdf,5168997,4.93 MB,Thu Sep 30 15:58:22 2021,Tue Mar  9 08:23:44 2021,Microsoft Word - poyavleniye_geroya.doc,macOS Версия 10.15.3 (Выпуск 19D2064) Quartz PDFContext,335.0,,,,,,,,,,,,,,,,,,,,,
0,"William M. Reddy - The Navigation of Feeling_ A Framework for the History of Emotions (2001, Cambridge University Press) .pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/William M. Reddy - The Navigation of Feeling_ A Framework for the History of Emotions (2001, Cambridge University Press) .pdf",1789297,1.71 MB,Sun Dec 26 03:17:30 2021,Fri Jan  8 03:31:14 2021,THE NAVIGATION OF FEELING: A FRAMEWORK FOR THE HISTORY OF EMOTIONS,Acrobat Distiller Command 3.02b for Solaris 2.3 and later (SPARC),396.0,,,,,,,,,,,,,,,,,,,,,
0,Lisa Feldman Barret - How Emotions Are Made.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/Lisa Feldman Barret - How Emotions Are Made.pdf,4900854,4.67 MB,Sun Dec 26 03:14:40 2021,Wed Mar  3 23:14:38 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,"Пол Экман  (Авт.) - Психология эмоций. Я знаю, что ты чувствуешь (2010).pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/Пол Экман  (Авт.) - Психология эмоций. Я знаю, что ты чувствуешь (2010).pdf",5737809,5.47 MB,Thu Mar 11 16:01:43 2021,Wed Mar  3 23:21:43 2021,Microsoft Word - bookend.docx,Acrobat Distiller 9.0.0 (Windows),331.0,,,,,,,,,,,,,,,,,,,,,
0,From Passions to Emotions_ The Creation of a Secular Psychological Category-Cambridge University Press (2003).pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/From Passions to Emotions_ The Creation of a Secular Psychological Category-Cambridge University Press (2003).pdf,2798458,2.67 MB,Sun Dec 26 03:14:07 2021,Wed Mar  3 23:15:27 2021,From Passions to Emotions: The Creation of a Secular Psychological Category,Acrobat Distiller 4.05 for Windows,298.0,,,,,,,,,,,,,,,,,,,,,
0,"Michael D. Robinson (ed.), Edward R. Watkins (ed.), Eddie Harmon-Jones (ed.) - Handbook of Cognition and Emotion (2013, The Guilford Press) - libgen.lc.pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/Michael D. Robinson (ed.), Edward R. Watkins (ed.), Eddie Harmon-Jones (ed.) - Handbook of Cognition and Emotion (2013, The Guilford Press) - libgen.lc.pdf",8371688,7.98 MB,Sun Dec 26 03:17:11 2021,Wed Mar  3 23:14:12 2021,Handbook of Cognition and Emotion,Adobe PDF Library 9.9,610.0,,,,,,,,,,,,,,,,,,,,,
0,Семинар 2. Наука о чувствах.docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/Семинар 2. Наука о чувствах.docx,17142,16.74 KB,Mon Sep  6 11:49:23 2021,Sat Mar  6 16:00:18 2021,,,,Карнаухов Иван Алексеевич,,,,2021-03-03 20:00:00,,,,Карнаухов Иван Алексеевич,,2021-03-06 13:00:00,2.0,,,,,,,,,
